datasets,lf,iter,cv,max_epoch_pmf,pmf_time,pmf_rmse
jester,5,1,1,5,67.3173048496246,0.8724300424287764
jester,20,1,1,5,101.040514945984,0.8670099986848173
jester,50,1,1,5,164.906684875488,0.862088349918417
jester,100,1,1,5,265.196187019348,0.8595455975728262
jester,5,2,1,25,341.564737081528,0.8382081620318442
jester,20,2,1,25,502.395473003387,0.853606867119353
jester,50,2,1,25,830.902106046677,0.8844425675397872
jester,100,2,1,25,1318.20062303543,0.897618399709888
jester,5,3,1,50,678.484828948975,0.842145379361256
jester,20,3,1,50,1005.67300891876,0.8811381926215623
jester,50,3,1,50,1652.36681985855,0.9386928676267206
jester,100,3,1,50,2640.19634699821,0.9001212447140416
jester,5,4,1,75,1026.99984002113,0.8446173903773353
jester,20,4,1,75,1517.4265639782,0.8955247470453658
jester,50,4,1,75,2492.13080596924,0.9668195968215282
jester,100,4,1,75,3968.47807121277,0.8853845449041905
jester,5,1,2,5,68.0474669933319,0.871335013692373
jester,20,1,2,5,100.426280021667,0.86557215900407
jester,50,1,2,5,166.359306097031,0.8607259625339085
jester,100,1,2,5,260.422780990601,0.8581785352499306
jester,5,2,2,25,351.16192817688,0.8359088074317759
jester,20,2,2,25,516.670114994049,0.8523347386132303
jester,50,2,2,25,837.90362405777,0.882046753338931
jester,100,2,2,25,1301.69666814804,0.8972445782215038
jester,5,3,2,50,702.604048967361,0.8401757073745005
jester,20,3,2,50,1025.04192495346,0.8783376779339356
jester,50,3,2,50,1673.39168810844,0.9356920848540103
jester,100,3,2,50,2607.25333404541,0.8998315480717621
jester,5,4,2,75,1047.32753705978,0.8423169344734781
jester,20,4,2,75,1536.23525285721,0.8922733074782937
jester,50,4,2,75,2502.02540397644,0.9635697558311489
jester,100,4,2,75,3909.83965182304,0.8861515712938652
jester,5,1,3,5,70.1409559249878,0.8721475662294517
jester,20,1,3,5,102.49369597435,0.8657174858216481
jester,50,1,3,5,168.269622087479,0.8609501978146307
jester,100,1,3,5,262.634675979614,0.8581529669634449
jester,5,2,3,25,346.685737848282,0.8371837289522736
jester,20,2,3,25,512.409029006958,0.8525300237241441
jester,50,2,3,25,838.149760007858,0.8835821969468308
jester,100,2,3,25,1300.07777380943,0.897236766759934
jester,5,3,3,50,696.356774091721,0.841106273972713
jester,20,3,3,50,1021.80205607414,0.880006102209289
jester,50,3,3,50,1671.77409100533,0.937412504686753
jester,100,3,3,50,2600.16185617447,0.89885408441915
jester,5,4,3,75,1046.88439512253,0.8434615492742595
jester,20,4,3,75,1537.46298599243,0.893954712222548
jester,50,4,3,75,2504.84715104103,0.9652719627644736
jester,100,4,3,75,3918.22161817551,0.8837900039296402
jester,5,1,4,5,70.1304399967194,0.8726535488111204
jester,20,1,4,5,102.50742316246,0.8670692485630204
jester,50,1,4,5,167.276136875153,0.8618513463044905
jester,100,1,4,5,261.430874109268,0.8590283808878051
jester,5,2,4,25,350.970041036606,0.8430521598942132
jester,20,2,4,25,508.63535284996,0.8548134167727331
jester,50,2,4,25,831.755141019821,0.8827724142839947
jester,100,2,4,25,1305.57403492928,0.8975387458897235
jester,5,3,4,50,702.285983085632,0.843512777288199
jester,20,3,4,50,1021.44754600525,0.8828417228159718
jester,50,3,4,50,1674.4997689724,0.9370824157107785
jester,100,3,4,50,2604.18425917625,0.9002887561179382
jester,5,4,4,75,1047.52230715752,0.844682024255282
jester,20,4,4,75,1537.48704719543,0.8968199635534622
jester,50,4,4,75,2511.57552504539,0.96569342285339
jester,100,4,4,75,3904.89231300354,0.8856908820523536
jester,5,1,5,5,71.0167288780212,0.8721622105930181
jester,20,1,5,5,102.573337078094,0.8669035687760785
jester,50,1,5,5,167.754738092422,0.8620121259303536
jester,100,1,5,5,260.652802944183,0.8593932352560897
jester,5,2,5,25,348.971978902817,0.8382395227382066
jester,20,2,5,25,515.291406154633,0.8548572572221482
jester,50,2,5,25,837.036759138107,0.8845846087737611
jester,100,2,5,25,1302.29392004013,0.8978454315442426
jester,5,3,5,50,698.292977809906,0.8426028331569815
jester,20,3,5,50,1024.35825586319,0.8837335305374705
jester,50,3,5,50,1666.07230401039,0.9393150563913747
jester,100,3,5,50,2600.5361161232,0.8997889529926758
jester,5,4,5,75,1051.0045979023,0.8444835340333331
jester,20,4,5,75,1544.11825895309,0.8976868372120018
jester,50,4,5,75,2501.89316511154,0.9679456791122354
jester,100,4,5,75,3913.98184919357,0.8848224495826407
